strategy,symbol,hour,n,wins,total,avg,hit
fair_value_gap,ZN,23,29,14,935.3308035716011,32.25278633005521,48.275862068965516
pivot_reversal,NQ,2,5,4,935.1071428570285,187.0214285714057,80.0
vol_spike_fade,ZB,2,15,10,929.4071428572241,61.96047619048161,66.66666666666666
fair_value_gap,6E,14,66,26,927.9158694536777,14.059331355358752,39.39393939393939
fair_value_gap,ZT,18,52,26,927.3283482143345,17.83323746566028,50.0
vol_regime_trend,NG,2,6,5,922.7930953979385,153.79884923298974,83.33333333333334
bollinger_squeeze_break,6E,0,14,8,918.021536636408,65.57296690260057,57.14285714285714
fair_value_gap,ES,8,16,8,916.8357142857792,57.3022321428612,50.0
pivot_reversal,NQ,19,5,4,915.6428571430442,183.12857142860884,80.0
support_resistance_bounce,NG,2,17,4,910.5288255146413,53.560519147920076,23.52941176470588
donchian_breakout,NG,3,6,2,904.6012702941858,150.7668783823643,33.33333333333333
support_resistance_bounce,ES,14,7,2,902.4464285715131,128.920918367359,28.57142857142857
opening_range_breakout,NG,13,27,9,898.944186837353,33.29422914212418,33.33333333333333
keltner_breakout,ZN,4,21,10,895.0968749999859,42.62366071428504,47.61904761904761
order_block,ZB,3,34,15,893.5750000000141,26.28161764705924,44.11764705882353
fair_value_gap,NG,8,53,21,893.3647145270987,16.85593800994526,39.62264150943396
gap_fill,ZN,5,6,3,888.366071428612,148.06101190476866,50.0
liquidity_sweep,CL,14,6,5,886.3819774082809,147.7303295680468,83.33333333333334
fair_value_gap,NQ,22,13,7,878.3142857142752,67.56263736263655,53.84615384615385
rsi2_extreme_reversion,NQ,21,8,1,872.8000000000001,109.10000000000001,12.5
opening_range_breakout,6E,23,24,12,872.5445405755524,36.35602252398135,50.0
rsi2_extreme_reversion,ZN,16,6,3,864.2750000000001,144.04583333333335,50.0
fair_value_gap,NG,7,65,26,861.3894895281273,13.25214599274042,40.0
keltner_breakout,ZN,11,16,8,854.7218750000255,53.420117187501596,50.0
bollinger_squeeze_break,ZT,3,8,6,851.5834821428896,106.4479352678612,75.0
