strategy,symbol,p_min_gap_atr,p_rr_target,p_stop_atr_mult,n_trades_total,train_n,train_hit,train_e,train_t,train_mean_gross_usd,train_mean_risk_ticks,oos_n,oos_hit,oos_e,oos_t,oos_mean_gross_usd,oos_mean_risk_ticks,oos_breakeven_slip_ticks,oos_mean_net_usd_at_slip_0_0,oos_hit_rate_at_slip_0_0,oos_mean_net_usd_at_slip_0_25,oos_hit_rate_at_slip_0_25,oos_mean_net_usd_at_slip_0_5,oos_hit_rate_at_slip_0_5,oos_mean_net_usd_at_slip_1_0,oos_hit_rate_at_slip_1_0
gap_fill_wide,ZT,1.25,1.25,2.0,11,8,0.6250,1.0636,1.7026,49.11,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZT,1.25,1.5,2.0,10,7,0.5714,1.0250,1.4238,47.19,0.00,3,0.3333,-0.1111,-0.1377,-5.21,0.00,0.000,-5.21,0.3333,-13.02,0.3333,-20.83,0.3333,-36.46,0.3333
gap_fill_wide,ZB,0.5,1.0,1.0,15,10,0.5000,0.7000,1.1803,61.83,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,0.5,1.25,1.0,14,9,0.4444,0.6667,1.0070,58.28,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,0.5,1.5,1.0,11,9,0.4444,0.6667,1.0070,58.28,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,0.5,1.0,1.5,15,10,0.6000,1.1694,1.7553,114.84,0.00,5,0.4000,-0.0471,-0.0797,-2.01,0.00,0.000,-2.01,0.4000,-17.63,0.4000,-33.26,0.4000,-64.51,0.4000
gap_fill_wide,ZB,0.5,1.25,1.5,12,9,0.5556,1.1883,1.5959,117.19,0.00,3,0.3333,-0.1111,-0.1250,-10.42,0.00,0.000,-10.42,0.3333,-26.04,0.3333,-41.67,0.3333,-72.92,0.3333
gap_fill_wide,ZB,0.5,1.5,1.5,11,9,0.5556,1.1883,1.5959,117.19,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,0.5,1.0,2.0,12,9,0.6667,1.2476,2.0621,151.29,0.00,3,0.3333,-0.2000,-0.2500,-29.76,0.00,0.000,-29.76,0.3333,-45.39,0.3333,-61.01,0.3333,-92.26,0.3333
gap_fill_wide,ZB,0.5,1.25,2.0,11,9,0.6667,1.2476,2.0621,151.29,0.00,2,0.5000,0.2000,0.1667,15.62,0.00,0.250,15.62,0.5000,0.00,0.5000,-15.62,0.5000,-46.88,0.5000
gap_fill_wide,ZB,0.5,1.5,2.0,7,7,0.5714,1.1868,1.5016,127.55,0.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill_wide,ZB,0.75,1.0,1.0,15,10,0.5000,0.7000,1.1803,61.83,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,0.75,1.25,1.0,14,9,0.4444,0.6667,1.0070,58.28,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,0.75,1.5,1.0,11,9,0.4444,0.6667,1.0070,58.28,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,0.75,1.0,1.5,15,10,0.6000,1.1694,1.7553,114.84,0.00,5,0.4000,-0.0471,-0.0797,-2.01,0.00,0.000,-2.01,0.4000,-17.63,0.4000,-33.26,0.4000,-64.51,0.4000
gap_fill_wide,ZB,0.75,1.25,1.5,12,9,0.5556,1.1883,1.5959,117.19,0.00,3,0.3333,-0.1111,-0.1250,-10.42,0.00,0.000,-10.42,0.3333,-26.04,0.3333,-41.67,0.3333,-72.92,0.3333
gap_fill_wide,ZB,0.75,1.5,1.5,11,9,0.5556,1.1883,1.5959,117.19,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,0.75,1.0,2.0,12,9,0.6667,1.2476,2.0621,151.29,0.00,3,0.3333,-0.2000,-0.2500,-29.76,0.00,0.000,-29.76,0.3333,-45.39,0.3333,-61.01,0.3333,-92.26,0.3333
gap_fill_wide,ZB,0.75,1.25,2.0,11,9,0.6667,1.2476,2.0621,151.29,0.00,2,0.5000,0.2000,0.1667,15.62,0.00,0.250,15.62,0.5000,0.00,0.5000,-15.62,0.5000,-46.88,0.5000
gap_fill_wide,ZB,0.75,1.5,2.0,7,7,0.5714,1.1868,1.5016,127.55,0.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill_wide,ZB,1.0,1.0,1.0,15,10,0.5000,0.7000,1.1803,61.83,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,1.0,1.25,1.0,14,9,0.4444,0.6667,1.0070,58.28,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,1.0,1.5,1.0,11,9,0.4444,0.6667,1.0070,58.28,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,1.0,1.0,1.5,15,10,0.6000,1.1694,1.7553,114.84,0.00,5,0.4000,-0.0471,-0.0797,-2.01,0.00,0.000,-2.01,0.4000,-17.63,0.4000,-33.26,0.4000,-64.51,0.4000
gap_fill_wide,ZB,1.0,1.25,1.5,12,9,0.5556,1.1883,1.5959,117.19,0.00,3,0.3333,-0.1111,-0.1250,-10.42,0.00,0.000,-10.42,0.3333,-26.04,0.3333,-41.67,0.3333,-72.92,0.3333
gap_fill_wide,ZB,1.0,1.5,1.5,11,9,0.5556,1.1883,1.5959,117.19,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,1.0,1.0,2.0,12,9,0.6667,1.2476,2.0621,151.29,0.00,3,0.3333,-0.2000,-0.2500,-29.76,0.00,0.000,-29.76,0.3333,-45.39,0.3333,-61.01,0.3333,-92.26,0.3333
gap_fill_wide,ZB,1.0,1.25,2.0,11,9,0.6667,1.2476,2.0621,151.29,0.00,2,0.5000,0.2000,0.1667,15.62,0.00,0.250,15.62,0.5000,0.00,0.5000,-15.62,0.5000,-46.88,0.5000
gap_fill_wide,ZB,1.0,1.5,2.0,7,7,0.5714,1.1868,1.5016,127.55,0.00,,,,,,,∞,0.00,0.0000,0.00,0.0000,0.00,0.0000,0.00,0.0000
gap_fill_wide,ZB,1.25,1.0,1.0,15,10,0.5000,0.7000,1.1803,61.83,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,1.25,1.25,1.0,14,9,0.4444,0.6667,1.0070,58.28,0.00,5,0.4000,0.0000,0.0000,0.00,0.00,0.000,0.00,0.4000,-15.62,0.4000,-31.25,0.4000,-62.50,0.4000
gap_fill_wide,ZB,1.25,1.5,1.0,11,9,0.4444,0.6667,1.0070,58.28,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,1.25,1.0,1.5,15,10,0.6000,1.1694,1.7553,114.84,0.00,5,0.4000,-0.0471,-0.0797,-2.01,0.00,0.000,-2.01,0.4000,-17.63,0.4000,-33.26,0.4000,-64.51,0.4000
gap_fill_wide,ZB,1.25,1.25,1.5,12,9,0.5556,1.1883,1.5959,117.19,0.00,3,0.3333,-0.1111,-0.1250,-10.42,0.00,0.000,-10.42,0.3333,-26.04,0.3333,-41.67,0.3333,-72.92,0.3333
gap_fill_wide,ZB,1.25,1.5,1.5,11,9,0.5556,1.1883,1.5959,117.19,0.00,2,0.5000,0.3333,0.2500,31.25,0.00,0.500,31.25,0.5000,15.62,0.5000,0.00,0.5000,-31.25,0.5000
gap_fill_wide,ZB,1.25,1.0,2.0,12,9,0.6667,1.2476,2.0621,151.29,0.00,3,0.3333,-0.2000,-0.2500,-29.76,0.00,0.000,-29.76,0.3333,-45.39,0.3333,-61.01,0.3333,-92.26,0.3333
